DateTime,Open,High,Low,Close,Volume,OpenInterest
2014-12-05,84.68000,85.83000,83.89000,85.41000,0,0
2014-12-08,89.11000,94.66000,86.03000,94.45000,0,0
2014-12-09,98.01000,101.91000,95.39000,97.13000,0,0
2014-12-10,104.65000,118.09000,103.74000,117.32000,0,0
2014-12-11,114.17000,132.40000,104.71000,132.40000,0,0
2014-12-12,132.44000,141.66000,128.01000,138.60000,0,0
2014-12-15,134.02000,141.22000,127.48000,128.22000,0,0
2014-12-16,132.97000,134.50000,120.04000,132.94000,0,0
2014-12-17,131.46000,132.03000,111.95000,114.37000,0,0
2014-12-18,109.14000,110.29000,103.77000,107.24000,0,0
2014-12-19,106.46000,108.12000,99.17000,99.17000,0,0
2014-12-22,99.71000,100.87000,97.51000,99.69000,0,0
2014-12-23,96.80000,99.99000,94.67000,94.73000,0,0
2014-12-24,94.87000,96.07000,93.56000,95.29000,0,0
2014-12-26,94.34000,94.90000,92.25000,92.28000,0,0
2014-12-29,96.47000,97.01000,93.86000,94.86000,0,0
2014-12-30,96.32000,98.39000,95.36000,97.84000,0,0
2014-12-31,97.30000,115.53000,96.93000,113.08000,0,0
2015-01-02,109.56000,119.82000,107.04000,112.55000,0,0
2015-01-05,115.48000,125.12000,115.35000,121.87000,0,0
2015-01-06,120.69000,125.68000,114.10000,118.45000,0,0
2015-01-07,113.31000,113.33000,107.46000,107.69000,0,0
2015-01-08,103.80000,103.80000,98.18000,98.44000,0,0
2015-01-09,97.92000,103.85000,97.92000,103.77000,0,0
2015-01-12,105.55000,111.45000,105.55000,109.04000,0,0
2015-01-13,105.79000,111.91000,102.67000,109.22000,0,0
2015-01-14,118.22000,119.55000,113.41000,113.50000,0,0
2015-01-15,113.26000,117.55000,111.58000,117.07000,0,0
2015-01-16,116.01000,117.35000,111.32000,111.32000,0,0
2015-01-20,111.04000,113.55000,107.55000,108.40000,0,0
2015-01-21,109.59000,110.21000,98.57000,98.62000,0,0
2015-01-22,96.89000,99.03000,92.92000,93.25000,0,0
2015-01-23,94.56000,98.55000,93.54000,96.33000,0,0
2015-01-26,96.70000,97.74000,91.85000,91.94000,0,0
2015-01-27,97.81000,100.11000,96.02000,96.11000,0,0
2015-01-28,96.02000,109.11000,95.15000,108.68000,0,0
2015-01-29,106.55000,109.99000,100.70000,100.70000,0,0
2015-01-30,104.66000,111.52000,102.69000,108.99000,0,0
2015-02-02,108.24000,113.57000,106.47000,106.74000,0,0
2015-02-03,105.22000,105.38000,100.92000,101.03000,0,0
2015-02-04,102.92000,103.80000,98.65000,103.74000,0,0
2015-02-05,101.44000,101.44000,97.67000,98.56000,0,0
2015-02-06,96.91000,104.79000,94.91000,101.69000,0,0
2015-02-09,107.21000,107.50000,104.19000,104.19000,0,0
2015-02-10,102.32000,103.10000,96.87000,97.33000,0,0
2015-02-11,102.15000,102.31000,98.73000,98.73000,0,0
