DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2012-10-24,0.35,0,0,0,0,1,1,0,0,0,0.4,0.4,0.6,0.8,0.6,0.4,0.0,0.0,0.0
2012-10-25,0.6,0,0,0,1,1,1,1,0,0,0.4,0.4,0.4,0.8,0.6,0.6,0.2,0.0,0.0
2012-10-26,0.65,0,0,1,1,1,0,0,0,0,0.2,0.2,0.4,0.8,0.8,0.6,0.2,0.0,0.0
2012-10-31,0.55,0,0,0,1,1,1,0,0,0,0.2,0.2,0.4,0.8,0.8,0.6,0.2,0.0,0.0
2012-11-01,1.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.2,0.6,1.0,0.8,0.4,0.2,0.2
2012-11-02,0.8,0,1,1,1,1,1,1,0,0,0.0,0.2,0.4,0.8,1.0,0.8,0.6,0.2,0.2
2012-11-05,0.8,0,0,0,0,1,1,0,0,0,0.0,0.2,0.4,0.6,1.0,0.8,0.4,0.2,0.2
2012-11-06,1.05,0,0,0,0,0,1,1,1,1,0.0,0.2,0.2,0.4,0.8,1.0,0.6,0.4,0.4
2012-11-07,0.65,1,1,1,1,0,0,0,0,0,0.2,0.4,0.4,0.4,0.6,0.8,0.6,0.4,0.4
2012-11-08,0.8,0,0,1,1,1,1,1,0,0,0.2,0.4,0.6,0.6,0.6,0.8,0.6,0.2,0.2
2012-11-09,1.0,0,0,1,1,1,1,1,1,0,0.2,0.2,0.6,0.6,0.6,0.8,0.6,0.4,0.2
2012-11-12,1.25,0,0,0,0,1,1,0,0,0,0.2,0.2,0.6,0.6,0.6,0.8,0.6,0.4,0.2
2012-11-13,1.25,0,1,1,1,1,1,1,0,0,0.2,0.4,0.8,0.8,0.8,0.8,0.6,0.2,0.0
2012-11-14,1.15,0,1,1,1,1,1,0,0,0,0.0,0.4,0.8,0.8,1.0,1.0,0.6,0.2,0.0
2012-11-15,1.1,0,0,1,1,1,1,0,0,0,0.0,0.4,0.8,0.8,1.0,1.0,0.4,0.2,0.0
2012-11-16,1.45,0,0,1,1,1,1,1,0,0,0.0,0.4,0.8,0.8,1.0,1.0,0.4,0.0,0.0
2012-11-19,1.35,0,0,0,0,0,1,1,1,1,0.0,0.4,0.8,0.8,0.8,1.0,0.6,0.2,0.2
2012-11-20,1.25,0,0,1,1,1,1,0,0,0,0.0,0.2,0.8,0.8,0.8,1.0,0.4,0.2,0.2
2012-11-21,1.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0.6,0.6,0.8,0.8,0.4,0.2,0.2
2012-11-23,1.8,0,0,0,0,0,1,1,1,1,0.0,0.0,0.4,0.4,0.6,0.8,0.6,0.4,0.4
2012-11-26,1.85,0,1,1,1,0,0,0,0,0,0.0,0.2,0.4,0.4,0.4,0.6,0.4,0.4,0.4
2012-11-27,1.65,0,0,1,1,1,1,0,0,0,0.0,0.2,0.6,0.6,0.6,0.6,0.2,0.2,0.2
