DateTime,Open,High,Low,Close
2006-12-26,1421.75,1427.75,1420.75,1426.0
2006-12-27,1432.25,1437.0,1430.5,1437.0
2006-12-28,1435.75,1437.75,1432.0,1437.25
2006-12-29,1434.25,1437.5,1431.5,1432.25
2007-01-02,1438.25,1439.0,1437.25,1437.25
2007-01-03,1435.75,1440.0,1416.5,1418.25
2007-01-04,1422.5,1429.0,1416.75,1428.5
2007-01-05,1420.75,1425.5,1414.25,1417.0
2007-01-08,1419.25,1423.5,1413.0,1420.25
2007-01-09,1424.75,1425.25,1414.0,1420.5
2007-01-10,1414.25,1423.75,1412.25,1422.0
2007-01-11,1421.25,1435.75,1421.0,1433.25
2007-01-12,1430.5,1439.5,1428.25,1437.5
2007-01-15,1442.5,1444.5,1441.75,1443.5
2007-01-16,1441.5,1442.0,1436.25,1438.75
2007-01-17,1439.25,1443.0,1435.25,1438.75
2007-01-18,1439.25,1442.25,1431.0,1431.75
2007-01-19,1432.25,1439.0,1431.5,1437.25
2007-01-22,1438.0,1438.5,1426.75,1430.25
2007-01-23,1430.0,1438.0,1427.75,1434.0
2007-01-24,1437.25,1445.5,1435.5,1444.25
2007-01-25,1445.0,1446.25,1429.25,1431.5
2007-01-26,1430.75,1433.0,1422.0,1426.5
2007-01-29,1426.75,1432.5,1423.25,1424.75
2007-01-30,1429.75,1433.75,1426.5,1432.25
2007-01-31,1431.75,1444.5,1429.0,1443.25
2007-02-01,1445.5,1450.0,1444.0,1449.75
2007-02-02,1451.0,1454.75,1448.75,1452.5
2007-02-05,1451.25,1454.25,1448.0,1453.25
2007-02-06,1455.0,1455.25,1447.5,1452.75
2007-02-07,1454.75,1457.75,1450.5,1451.5
2007-02-08,1452.5,1455.0,1446.75,1453.5
2007-02-09,1453.75,1457.0,1437.0,1439.0
2007-02-12,1443.75,1443.75,1435.0,1436.75
2007-02-13,1440.25,1448.0,1439.5,1446.25
2007-02-14,1451.0,1461.0,1449.75,1460.5
2007-02-15,1457.75,1461.25,1456.25,1460.5
2007-02-16,1458.75,1459.75,1454.5,1456.75
2007-02-19,1460.25,1460.5,1458.5,1459.5
2007-02-20,1458.25,1463.0,1452.25,1462.75
2007-02-21,1461.0,1461.75,1454.25,1460.25
2007-02-22,1462.5,1464.75,1452.75,1455.5
2007-02-23,1458.25,1459.25,1450.5,1454.25
2007-02-26,1458.75,1459.75,1447.75,1451.75
2007-02-27,1442.5,1442.5,1396.75,1399.0
2007-02-28,1405.0,1418.75,1398.0,1409.0
2007-03-01,1392.75,1411.75,1380.75,1410.0
2007-03-02,1395.75,1405.25,1388.25,1392.5
2007-03-05,1375.75,1393.75,1375.5,1385.0
2007-03-06,1384.75,1396.75,1382.75,1396.75
2007-03-07,1393.25,1402.5,1391.5,1399.0
2007-03-08,1403.5,1421.75,1402.0,1415.5
2007-03-09,1415.75,1426.25,1410.0,1414.0
2007-03-12,1414.0,1423.25,1411.0,1421.75
2007-03-13,1413.75,1417.0,1393.25,1395.0
2007-03-14,1388.5,1399.0,1375.25,1395.25
2007-03-15,1406.0,1408.5,1396.5,1405.0
2007-03-16,1398.25,1409.75,1395.25,1397.75
2007-03-19,1406.5,1415.75,1404.75,1414.0
2007-03-20,1414.0,1423.75,1412.75,1419.75
2007-03-21,1423.75,1448.0,1421.0,1447.0
2007-03-22,1445.5,1451.0,1441.0,1447.75
2007-03-23,1446.5,1451.0,1444.5,1448.25
2007-03-26,1447.0,1448.0,1433.75,1444.25
2007-03-27,1445.0,1445.25,1436.0,1440.75
2007-03-28,1435.0,1436.5,1424.25,1428.5
2007-03-29,1434.5,1438.25,1423.25,1428.25
2007-03-30,1432.75,1439.75,1418.0,1432.0
2007-04-02,1432.25,1434.5,1425.75,1432.0
2007-04-03,1439.75,1450.5,1439.5,1446.75
2007-04-04,1446.5,1450.0,1444.25,1447.75
2007-04-05,1448.5,1454.75,1446.25,1453.5
2007-04-06,1453.0,1459.0,1453.0,1458.0
2007-04-09,1458.25,1458.5,1452.5,1454.75
2007-04-10,1454.25,1458.25,1452.25,1457.0
2007-04-11,1457.25,1458.25,1444.5,1447.0
2007-04-12,1445.75,1456.0,1442.25,1454.75
2007-04-13,1454.75,1461.5,1452.25,1460.5
2007-04-16,1465.75,1477.25,1465.25,1474.75
2007-04-17,1472.25,1482.75,1472.25,1480.0
2007-04-18,1474.5,1482.0,1473.0,1481.25
2007-04-19,1473.75,1481.75,1471.25,1478.25
