Date,Price
2017/04/19,1283.43
2017/04/20,1276.68
2017/04/21,1277.63
2017/04/24,1271.18
2017/04/25,1271.17
2017/04/26,1261.08
2017/04/27,1263.6
2017/04/28,1262.35
2017/05/01,1261.86
2017/05/02,1253.84
2017/05/03,1252.97
2017/05/04,1235.73
2017/05/05,1227.83
2017/05/08,1228.49
2017/05/09,1224.58
2017/05/10,1219.86
2017/05/11,1217.56
2017/05/12,1223.85
2017/05/15,1227.74
2017/05/16,1230.81
2017/05/17,1240.26
2017/05/18,1256.78
2017/05/19,1247.09
2017/05/22,1251.76
2017/05/23,1259.03
2017/05/24,1248.81
2017/05/25,1255.2
2017/05/26,1255.33
2017/05/29,1264.04
2017/05/30,1264.83
2017/05/31,1258.73
2017/06/01,1265.53
2017/06/02,1259.31
2017/06/05,1277.75
2017/06/06,1282.14
2017/06/07,1289.85
2017/06/08,1283.33
2017/06/09,1272.51
2017/06/12,1265.18
2017/06/13,1262.48
2017/06/14,1265.56
2017/06/15,1260.87
2017/06/16,1250.99
2017/06/19,1249.77
2017/06/20,1242.7
2017/06/21,1243.08
2017/06/22,1249.17
2017/06/23,1249.99
2017/06/26,1249.47
2017/06/27,1243.4
2017/06/28,1248.45
2017/06/29,1247.85
2017/06/30,1242.9
2017/07/03,1235.14
2017/07/04,1221.07
2017/07/05,1223.39
2017/07/06,1223.17
2017/07/07,1219.15
2017/07/10,1207.39
2017/07/11,1209.14
2017/07/12,1216.08
2017/07/13,1219.38
2017/07/14,1214.59
2017/07/17,1228.04
2017/07/18,1233.97
2017/07/19,1237.88
2017/07/20,1236.6
2017/07/21,1242.85
2017/07/24,1251.7
2017/07/25,1251.87
2017/07/26,1244.49
2017/07/27,1260.01
2017/07/28,1256.67
2017/07/31,1265.88
2017/08/01,1266.41
2017/08/02,1264.04
2017/08/03,1260.03
2017/08/04,1266.13
2017/08/07,1255.23
2017/08/08,1257.06
2017/08/09,1262.7
2017/08/10,1274.55
2017/08/11,1283.77
2017/08/14,1283.7
2017/08/15,1273.65
2017/08/16,1269.61
2017/08/17,1284.26
2017/08/18,1287.04
2017/08/21,1283.71
2017/08/22,1285.34
2017/08/23,1282.48
2017/08/24,1285.88
2017/08/25,1283.82
2017/08/28,1291.86
2017/08/29,1315.81
2017/08/30,1308.3
2017/08/31,1302.33
2017/09/01,1316.86
2017/09/04,1332.49
2017/09/05,1332.15
2017/09/06,1336.58
2017/09/07,1332.55
2017/09/08,1348.9
2017/09/11,1334.76
2017/09/12,1323.46
2017/09/13,1328.68
2017/09/14,1318.82
2017/09/15,1327.28
2017/09/18,1314.27
2017/09/19,1305.14
2017/09/20,1309.35
2017/09/21,1295.55
2017/09/22,1293.04
2017/09/25,1289.88
2017/09/26,1307.12
2017/09/27,1290.72
2017/09/28,1279.07
2017/09/29,1283.33
2017/10/02,1272.52
2017/10/03,1267.45
2017/10/04,1272.44
2017/10/05,1272.28
2017/10/06,1265.77
2017/10/09,1278.06
2017/10/10,1283.49
2017/10/11,1286.32
2017/10/12,1291.8
2017/10/13,1292.6
2017/10/16,1300.22
2017/10/17,1289.96
2017/10/18,1282.71
2017/10/19,1277.86
2017/10/20,1282.3
2017/10/23,1273.27
2017/10/24,1278.79
2017/10/25,1271.74
2017/10/26,1277.19
2017/10/27,1264.52
2017/10/30,1268.19
2017/10/31,1273.42
2017/11/01,1268.71
2017/11/02,1275.49
2017/11/03,1273.91
2017/11/06,1267.03
2017/11/07,1276.64
2017/11/08,1275.17
2017/11/09,1279.76
2017/11/10,1282.39
2017/11/13,1273.7
2017/11/14,1273.67
2017/11/15,1279.33
2017/11/16,1275.12
2017/11/17,1279.14
2017/11/20,1289.09
2017/11/21,1277.14
2017/11/22,1279
2017/11/23,1287.27
2017/11/24,1288.68
2017/11/27,1286.84
2017/11/28,1291.15
2017/11/29,1292.25
2017/11/30,1280.95
2017/12/01,1273.01
2017/12/04,1271.9
2017/12/05,1273.16
2017/12/06,1263.82
2017/12/07,1259.17
2017/12/08,1245.7
2017/12/11,1246.07
2017/12/12,1241.42
2017/12/13,1240.65
2017/12/14,1253.77
2017/12/15,1252.04
2017/12/18,1252.67
2017/12/19,1259.66
2017/12/20,1260.77
2017/12/21,1263.85
2017/12/22,1263.87
2017/12/26,1275.14
2017/12/27,1280.16
2017/12/28,1287.24
2017/12/29,1292.56
2018/01/02,1304.8
2018/01/03,1313.06
2018/01/04,1307.03
2018/01/05,1318.21
2018/01/08,1316.67
2018/01/09,1315.71
2018/01/10,1308.75
2018/01/11,1315.47
2018/01/12,1323.88
2018/01/15,1337.93
2018/01/16,1337.62
2018/01/17,1335.06
2018/01/18,1324.68
2018/01/19,1328.4
2018/01/22,1329.41
2018/01/23,1333.11
2018/01/24,1339.25
2018/01/25,1358.07
2018/01/26,1348.99
2018/01/29,1345.9
2018/01/30,1335.09
2018/01/31,1338.02
2018/02/01,1340.5
2018/02/02,1345.39
2018/02/05,1329.29
2018/02/06,1339.06
2018/02/07,1325.86
2018/02/08,1310.99
2018/02/09,1315.78
2018/02/12,1319.13
2018/02/13,1322.15
2018/02/14,1330.6
2018/02/15,1351
2018/02/16,1353.71
2018/02/19,1346.16
2018/02/20,1338.96
2018/02/21,1325.23
2018/02/22,1321.35
2018/02/23,1326.36
2018/02/26,1332.42
2018/02/27,1331.24
2018/02/28,1315.13
2018/03/01,1312.41
2018/03/02,1314.59
2018/03/05,1323.56
2018/03/06,1319.45
2018/03/07,1332.37
2018/03/08,1324.14
2018/03/09,1316.11
2018/03/12,1320.18
2018/03/13,1318.88
2018/03/14,1324.09
2018/03/15,1323.14
2018/03/16,1314.24
2018/03/19,1308.76
2018/03/20,1313.48
2018/03/21,1310.8
2018/03/22,1328.67
2018/03/23,1335.27
2018/03/26,1344.5
2018/03/27,1350.48
2018/03/28,1341.47
2018/03/29,1323.5
2018/03/30,1321.5
2018/04/02,1327.64
2018/04/03,1336.84
2018/04/04,1333.39
2018/04/05,1327.01
2018/04/06,1325.96
2018/04/09,1329.02
2018/04/10,1332.26
2018/04/11,1339.45
2018/04/12,1347.95
2018/04/13,1336.42
2018/04/16,1342.68
2018/04/17,1343.57
2018/04/18,1342.13
2018/04/19,1348.43
2018/04/20,1340.24
2018/04/23,1330.57
2018/04/24,1323.25
2018/04/25,1325.11
2018/04/26,1320.8
2018/04/27,1314.72
2018/04/30,1318.39
2018/05/01,1309.87
2018/05/02,1305.92
2018/05/03,1306
2018/05/04,1309.37
2018/05/07,1313.13
2018/05/08,1310.85
2018/05/09,1307.9
2018/05/10,1310.78
2018/05/11,1317.99
2018/05/14,1318
2018/05/15,1310.11
2018/05/16,1291.01
2018/05/17,1288.65
2018/05/18,1286.91
2018/05/21,1284.75
2018/05/22,1288.76
2018/05/23,1289.83
2018/05/24,1292.57
2018/05/25,1300.64
2018/05/28,1295.62
2018/05/29,1296.01
2018/05/30,1296.99
2018/05/31,1300.61
2018/06/01,1296.44
2018/06/04,1290.03
2018/06/05,1289.43
2018/06/06,1294.86
2018/06/07,1294.63
2018/06/08,1294.18
2018/06/11,1295.85
2018/06/12,1295.39
2018/06/13,1292.45
2018/06/14,1297.47
2018/06/15,1298.56
2018/06/18,1277.93
2018/06/19,1279.22
2018/06/20,1271.3
2018/06/21,1263.54
2018/06/22,1265.77
2018/06/25,1265.93
2018/06/26,1261.25
2018/06/27,1254.14
2018/06/28,1249.38
2018/06/29,1246.94
2018/07/02,1247.8
2018/07/03,1238.72
2018/07/04,1254.78
2018/07/05,1253
2018/07/06,1252.87
2018/07/09,1256.15
2018/07/10,1255.26
2018/07/11,1249.58
2018/07/12,1240.94
2018/07/13,1242.5
2018/07/16,1240.54
2018/07/17,1238.88
2018/07/18,1223.8
2018/07/19,1221.46
2018/07/20,1218.49
2018/07/23,1228.87
2018/07/24,1219.94
2018/07/25,1223.08
2018/07/26,1228.47
2018/07/27,1220.79
2018/07/30,1218.61
2018/07/31,1218.77
2018/08/01,1219.65
2018/08/02,1215.97
2018/08/03,1204.9
2018/08/06,1211.97
2018/08/07,1208.08
2018/08/08,1210.33
2018/08/09,1211.22
2018/08/10,1208.29
2018/08/13,1205.87
2018/08/14,1191.98
2018/08/15,1186.73
2018/08/16,1169.47
2018/08/17,1173.43
2018/08/20,1182.96
2018/08/21,1191.29
2018/08/22,1192.76
2018/08/23,1189.32
2018/08/24,1184.57
2018/08/27,1203.26
2018/08/28,1207.56
2018/08/29,1200.36
2018/08/30,1201.7
2018/08/31,1200.48
2018/09/03,1197.37
2018/09/04,1196.37
2018/09/05,1190.5
2018/09/06,1196.31
2018/09/07,1198.6
2018/09/10,1191.76
2018/09/11,1192.19
2018/09/12,1192.54
2018/09/13,1202.69
2018/09/14,1202.1
2018/09/17,1192.7
2018/09/18,1195.93
2018/09/19,1198.5
2018/09/20,1201.37
2018/09/21,1205.91
2018/09/25,1196.47
2018/09/26,1198.29
2018/09/27,1194.01
2018/09/28,1181.16
2018/10/01,1185.72
2018/10/02,1188.92
2018/10/03,1202.93
2018/10/04,1195.35
2018/10/05,1196.33
2018/10/08,1195.25
2018/10/09,1187.25
2018/10/10,1186.54
2018/10/11,1191.62
2018/10/12,1217.22
2018/10/15,1220.15
2018/10/16,1224.51
2018/10/17,1221.09
2018/10/18,1220.02
2018/10/19,1224.46
2018/10/22,1224.13
2018/10/23,1223.07
2018/10/24,1229.35
2018/10/25,1232.87
2018/10/26,1230.12
2018/10/29,1229.91
2018/10/30,1224.62
2018/10/31,1216.45
2018/11/01,1216.24
2018/11/02,1230.45
2018/11/05,1229.63
2018/11/06,1228.22
2018/11/07,1225.36
2018/11/08,1222.2
2018/11/09,1218.04
2018/11/12,1206.41
2018/11/13,1200.67
2018/11/14,1199.99
2018/11/15,1208.3
2018/11/16,1212.21
2018/11/19,1218.09
2018/11/20,1220.65
2018/11/21,1219.02
2018/11/22,1224.11
2018/11/23,1224.03
2018/11/26,1221.74
2018/11/27,1219.04
2018/11/28,1211.55
2018/11/29,1221.06
2018/11/30,1221.73
2018/12/03,1223.44
2018/12/04,1231.79
2018/12/05,1233.26
2018/12/06,1235.74
2018/12/07,1236.38
2018/12/10,1245.78
2018/12/11,1243.2
2018/12/12,1241.32
2018/12/13,1242.66
2018/12/14,1238.47
2018/12/17,1234.98
2018/12/18,1244.58
2018/12/19,1247.39
2018/12/20,1242.83
2018/12/21,1257.57
2018/12/24,1259.92
2018/12/25,1265.99
2018/12/26,1268.81
2018/12/27,1266.71
2018/12/28,1275.06
2018/12/31,1276.47
2019/01/01,1279.67
2019/01/02,1280.56
2019/01/03,1285.74
2019/01/04,1292.75
2019/01/07,1286.23
2019/01/08,1282.54
2019/01/09,1281.2
2019/01/10,1292.01
2019/01/11,1288.47
2019/01/14,1288.64
2019/01/15,1288.55
2019/01/16,1287.53
2019/01/17,1290.44
2019/01/18,1288.57
2019/01/21,1279.36
2019/01/22,1277.17
2019/01/23,1281.96
2019/01/24,1279.56
2019/01/25,1279.48
2019/01/28,1300.64
2019/01/29,1302.18
2019/01/30,1310.63
2019/01/31,1316.85
2019/02/01,1316.25
2019/02/04,1311.44
2019/02/05,1310.73
2019/02/06,1311.73
2019/02/07,1302.13
2019/02/08,1306.89
2019/02/11,1309.27
2019/02/12,1306.34
2019/02/13,1309.49
2019/02/14,1305.36
2019/02/15,1310.34
2019/02/18,1320.54
2019/02/19,1322.52
2019/02/20,1339.88
2019/02/21,1336.45
2019/02/22,1322.92
2019/02/25,1327.59
2019/02/26,1325.19
2019/02/27,1325.35
2019/02/28,1317.47
2019/03/01,1309.71
2019/03/04,1291.58
2019/03/05,1284.61
2019/03/06,1285.5
2019/03/07,1283.29
2019/03/08,1286.55
2019/03/11,1294.41
2019/03/12,1292.66
2019/03/13,1301.62
2019/03/14,1302.62
2019/03/15,1295.77
2019/03/18,1298.15
2019/03/19,1303.02
2019/03/20,1302.27
2019/03/21,1314.95
2019/03/22,1307.14
2019/03/25,1312.46
2019/03/26,1316.93
2019/03/27,1313.74
2019/03/28,1307.11
2019/03/29,1287.45
2019/04/01,1289.11
2019/04/02,1284.68
2019/04/03,1289.71
2019/04/04,1289.2
2019/04/05,1287.34
2019/04/08,1293.13
2019/04/09,1296.59
2019/04/10,1300.82
2019/04/11,1304.26
2019/04/12,1290.26
2019/04/15,1285.63
2019/04/16,1283.39
2019/04/17,1274.76
2019/04/18,1270.76
2019/04/19,1272.51
2019/04/22,1276
2019/04/23,1271.77
2019/04/24,1268.07
2019/04/25,1273.32
2019/04/26,1277.37
2019/04/29,1282
2019/04/30,1279.58
2019/05/01,1278.24
2019/05/02,1271.61
2019/05/03,1268.66
2019/05/06,1280.08
2019/05/07,1279.57
2019/05/08,1283.72
2019/05/09,1279.69
2019/05/10,1282.19
2019/05/13,1281.97
2019/05/14,1296.99
2019/05/15,1293.75
2019/05/16,1293.74
2019/05/17,1283.87
2019/05/20,1273.95
2019/05/21,1273.25
2019/05/22,1271.3
2019/05/23,1271.31
2019/05/24,1280.72
2019/05/27,1283.52
2019/05/28,1280.99
2019/05/29,1279.2
2019/05/30,1275.62
2019/05/31,1289.62
2019/06/03,1309.19
2019/06/04,1322.48
2019/06/05,1326.35
2019/06/06,1328.93
2019/06/07,1330.98
2019/06/10,1326.69
2019/06/11,1324.79
2019/06/12,1329.44
2019/06/13,1332.37
2019/06/14,1346.02
2019/06/17,1336.34
2019/06/18,1339.53
2019/06/19,1341.89
2019/06/20,1374.26
2019/06/21,1395.44
2019/06/24,1402.1
2019/06/25,1426
2019/06/26,1407.52
2019/06/27,1403.88
